date,price
2022-01-03,101.78880906883383
2022-01-04,100.60988043385909
2022-01-05,98.66313594036491
2022-01-06,102.7074517994155
2022-01-07,102.55802389593012
2022-01-10,102.3980733924216
2022-01-11,104.01317518792139
2022-01-12,103.53775893450972
2022-01-13,103.36337993683817
2022-01-14,104.22522283229964
2022-01-17,106.55843896677844
2022-01-18,108.61273960986381
2022-01-19,108.628584116673
2022-01-20,107.63314974560308
2022-01-21,104.91312561031516
2022-01-24,103.28619232755898
2022-01-25,102.30357172870622
2022-01-26,101.82336370989651
2022-01-27,100.51977762182078
2022-01-28,100.7369150477264
2022-01-31,99.8257865269657
2022-02-01,98.71262040570642
2022-02-02,98.62713066585181
2022-02-03,96.49276288071098
2022-02-04,94.03133109022917
2022-02-07,91.83613062926665
2022-02-08,92.93572663502562
2022-02-09,94.04960687091355
2022-02-10,92.61000774470408
2022-02-11,90.38279971837385
2022-02-14,90.9464125255748
2022-02-15,90.06563188895568
2022-02-16,92.92102151478791
2022-02-17,95.12782190197572
2022-02-18,95.42221373828613
2022-02-21,94.63974458628188
2022-02-22,95.87791577833829
2022-02-23,94.791023243483
2022-02-24,95.61225908408016
2022-02-25,91.00388184079156
2022-02-28,91.31151459924975
2022-03-01,90.14149092841743
2022-03-02,89.56606305250483
2022-03-03,89.40790610865001
2022-03-04,91.57603863663529
2022-03-07,91.32266681137548
2022-03-08,92.5679048444658
2022-03-09,93.4114261594341
2022-03-10,95.92826727349255
2022-03-11,96.65738350495134
2022-03-14,93.92075068727587
2022-03-15,94.8971985137175
2022-03-16,95.38441658985668
2022-03-17,97.43983497786346
2022-03-18,98.58458551559778
2022-03-21,100.74902542762202
2022-03-22,101.68044373554545
2022-03-23,103.12600631306361
2022-03-24,102.76920233245872
2022-03-25,103.76759773280526
2022-03-28,100.80115892766565
2022-03-29,101.94600525320334
2022-03-30,102.26010348839623
2022-03-31,102.15435773328251
2022-04-01,103.25862227992687
2022-04-04,102.45324545245411
2022-04-05,100.96238922604775
2022-04-06,100.72330131652504
2022-04-07,100.9696263924531
2022-04-08,102.09191854364498
2022-04-11,101.59036951753626
2022-04-12,102.91701936653618
2022-04-13,103.94673857504677
2022-04-14,104.59129795742396
2022-04-15,104.03190596154624
2022-04-18,105.84109454514766
2022-04-19,106.02020314206423
2022-04-20,107.39688605919837
2022-04-21,107.0795527109023
2022-04-22,104.13729601270671
2022-04-25,105.28176850354994
2022-04-26,107.29672132650933
2022-04-27,107.66932680684002
2022-04-28,107.0881150909347
2022-04-29,106.68058358859619
2022-05-02,106.72530720342313
2022-05-03,106.89511352751401
2022-05-04,107.95520880884578
2022-05-05,109.29469842990356
2022-05-06,107.70748499199507
2022-05-09,109.12470270056616
2022-05-10,107.4830356778785
2022-05-11,107.62068842843246
2022-05-12,106.62445506046468
2022-05-13,107.68490230661959
2022-05-16,108.9589463057331
2022-05-17,106.91488190482153
2022-05-18,107.4173445812834
2022-05-19,107.18034698330301
2022-05-20,103.6308153984028
2022-05-23,102.72417236210998
2022-05-24,102.1670139245021
2022-05-25,102.51743243927868
2022-05-26,103.06474292654421
2022-05-27,104.60742566724645
2022-05-30,103.62204535768048
2022-05-31,99.51104297188608
2022-06-01,99.3700895517034
2022-06-02,99.1422825765943
2022-06-03,98.14739562317249
2022-06-06,98.30142730276376
2022-06-07,99.9803667526981
2022-06-08,99.74611099719122
2022-06-09,101.25236480044285
2022-06-10,102.8106091276168
2022-06-13,102.19086792166672
2022-06-14,100.30887060410824
2022-06-15,99.74441955242426
2022-06-16,100.84172418777415
2022-06-17,101.66545192269845
2022-06-20,101.49207043938372
2022-06-21,100.82940321720325
2022-06-22,100.86106779862035
2022-06-23,100.00006443492302
2022-06-24,99.34726800246689
2022-06-27,99.26630177995649
2022-06-28,98.44495341564105
2022-06-29,95.94827093328583
2022-06-30,95.55121887953368
2022-07-01,94.72852181030386
2022-07-04,95.29466328311048
2022-07-05,95.00496172789683
2022-07-06,96.74979356286912
2022-07-07,99.89410729730926
2022-07-08,101.96100218988282
2022-07-11,101.07273848911264
2022-07-12,96.19964279853625
2022-07-13,95.9770931188377
2022-07-14,95.15734485467868
2022-07-15,95.55412647064057
2022-07-18,96.18712922590923
2022-07-19,95.30965124708513
2022-07-20,94.06947241197372
2022-07-21,94.76956064832534
2022-07-22,92.72875037057923
2022-07-25,91.7536441112661
2022-07-26,90.6797443316831
2022-07-27,91.43928287936926
2022-07-28,88.14377837099318
2022-07-29,87.9508486727265
2022-08-01,87.91956781793374
2022-08-02,88.53839800910391
2022-08-03,90.57087755436447
2022-08-04,89.57340881009094
2022-08-05,89.48914240923558
2022-08-08,88.64802338728099
2022-08-09,89.56262785080061
2022-08-10,90.25438157838045
2022-08-11,89.71353452595558
2022-08-12,88.05927323412864
2022-08-15,88.40338688971195
2022-08-16,87.07704167466925
2022-08-17,83.47108560828262
2022-08-18,82.85554603561486
2022-08-19,81.64986285568031
2022-08-22,82.92334184730514
2022-08-23,85.21423184263075
2022-08-24,85.68339839998761
2022-08-25,86.67086619201913
2022-08-26,83.98066781258166
2022-08-29,84.99273375679395
2022-08-30,83.82307670857136
2022-08-31,83.54527534408523
2022-09-01,82.3985590988898
2022-09-02,80.67487803110284
2022-09-05,80.59416148188237
2022-09-06,78.74396710689955
2022-09-07,78.3613382132027
2022-09-08,78.42215996836404
2022-09-09,79.25469676623118
2022-09-12,75.90741992642836
2022-09-13,76.68017876516801
2022-09-14,78.73088736876866
2022-09-15,77.4637379287328
2022-09-16,79.83736487801978
2022-09-19,82.318225865549
2022-09-20,81.63315499480915
2022-09-21,82.8662345199285
2022-09-22,84.0456961770645
2022-09-23,83.47872544341179
2022-09-26,84.63183760309586
